directory,file,start,end,
,README.pdf,,,
eda-designs/SAP-BE,sap-be.pdf,1,7,7
eda-designs/SAP-BE,sap-be.pdf,9,10,2
datasheets,BPS-MAR-BB830_BB830T-001-6408.pdf,1,2,2
datasheets,386-776606.pdf,1,1,1
datasheets,DIP_Series_78B_RA-1098801.pdf,1,1,1
datasheets,LM555-1124984.pdf,2,11,10
datasheets,sn74ls00.pdf,1,1,1
datasheets,sn74ls00.pdf,3,4,2
datasheets,sn74ls00.pdf,10,10,1
datasheets,sn74ls04.pdf,1,2,2
datasheets,sn74ls08.pdf,1,2,2
datasheets,sn74ls32.pdf,1,2,2
datasheets,sn74ls86a.pdf,1,2,2
datasheets,sn74ls112a.pdf,1,4,4
datasheets,sn74ls138.pdf,1,2,2
datasheets,sn74ls139a.pdf,1,2,2
datasheets,sn74ls157.pdf,1,1,1
datasheets,sn74ls157.pdf,3,3,1
datasheets,sn74ls161a.pdf,1,3,3
datasheets,sn74ls161a.pdf,7,7,1
datasheets,sn74ls173a.pdf,1,4,4
datasheets,DM74ls181.pdf,1,4,4
datasheets,sn74ls245.pdf,1,1,1
datasheets,sn74ls245.pdf,3,3,1
datasheets,sn74ls273.pdf,1,2,2
datasheets,sn74ls283.pdf,1,2,2
datasheets,IDT_7164SL_DST_20161205-881067.pdf,1,2,2
datasheets,SA56-11SRWA-44896.pdf,1,2,2
datasheets,doc0270-1066081.pdf,1,6,6
datasheets,sn74hc595.pdf,1,1,1
datasheets,sn74hc595.pdf,4,4,1
datasheets,sn74hc595.pdf,12,13,2
